Language,Title,Short description,Full description
en-US,Ray Player: Smart IPTV Player,"Fast M3U & Xtream IPTV player. 4K live streaming for Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player is a high-performance, versatile media player engineered for Android TV, Google TV, TV Boxes, phones, and tablets.

Fully supports M3U, M3U8, Xtream Codes API, and XMLTV EPG formats. Effortlessly stream your legal playlists in crystal-clear 4K/HDR quality.

🚫 IMPORTANT: The app does NOT provide any channels or media. It is strictly a playback tool for users' own legal content.

✨ WHY CHOOSE RAY PLAYER?
• 🚀 Zero Lag & Fast Zapping: Optimized for Android TV remotes (D-Pad) and touchscreens.
• 🎨 Modern Glass UI: Live previews, wallpapers, and a ""TV Lite Mode"" for 1-2GB RAM TV boxes.
• 🧠 Ray AI Recommendations: Daily Mix, Trending Movies, and personalized picks.
• ⚔️ Dual Engine Power: ExoPlayer (Hardware Accelerated) & MPV Player with auto-fallback.

⚙️ POWERFUL FEATURES:
• 📂 Multi-Playlist: Manage unlimited M3U playlists and Xtream accounts; combine sources.
• 🔄 Smart Detection: Converts M3U credentials into stable Xtream architecture.
• 📺 Prefix Cleaner: Cleans country prefixes (TR:, [EN], DE|) while preserving 4K/FHD tags.
• 🎬 Cinematic Info: IMDb ratings, official trailers, cast info, and episode pickers.
• 💬 Subtitles & Audio: OpenSubtitles, external subs, multi-audio tracks, and Dolby Digital.
• ☁️ Google Cloud Backup: Sync playlists, favorites, and settings across all your devices.
• 👨‍👩‍👧‍👦 Multi-Profile & Kids Mode: Separate profiles with child-safe filtering.
• 🔒 Parental Control: 4-digit D-Pad PIN to lock sensitive categories.
• 🛰️ EPG & Sports Calendar: 24h XMLTV program guide, match schedules, and Catch-Up.
• 🎛️ Pro Tools: Picture-in-Picture (PiP), Background Audio, 400% Zoom, and 0.5x-2.0x Speed.
• ⏱️ Sleep Timer & Built-in Network Speed Test.
• 📲 External Player: Launch in VLC or MX Player with a single tap.

📦 SUPPORTED FORMATS:
• Playlists: M3U, M3U8, Xtream Codes API
• Guide: XMLTV EPG
• Engines: ExoPlayer & MPV
• Protocols: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP
• Codecs: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ LEGAL DISCLAIMER:
- No Content: Ray Player does not host, provide, or distribute any media or streams.
- User Responsibility: Users must supply their own authorized content.
- Copyright: We do not endorse unauthorized streaming of copyrighted material."
en-GB,Ray Player: Smart IPTV Player,"Fast M3U & Xtream IPTV player. 4K live streaming for Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player is a high-performance, versatile media player engineered for Android TV, Google TV, TV Boxes, phones, and tablets.

Fully supports M3U, M3U8, Xtream Codes API, and XMLTV EPG formats. Effortlessly stream your legal playlists in crystal-clear 4K/HDR quality.

🚫 IMPORTANT: The app does NOT provide any channels or media. It is strictly a playback tool for users' own legal content.

✨ WHY CHOOSE RAY PLAYER?
• 🚀 Zero Lag & Fast Zapping: Optimized for Android TV remotes (D-Pad) and touchscreens.
• 🎨 Modern Glass UI: Live previews, wallpapers, and a ""TV Lite Mode"" for 1-2GB RAM TV boxes.
• 🧠 Ray AI Recommendations: Daily Mix, Trending Movies, and personalized picks.
• ⚔️ Dual Engine Power: ExoPlayer (Hardware Accelerated) & MPV Player with auto-fallback.

⚙️ POWERFUL FEATURES:
• 📂 Multi-Playlist: Manage unlimited M3U playlists and Xtream accounts; combine sources.
• 🔄 Smart Detection: Converts M3U credentials into stable Xtream architecture.
• 📺 Prefix Cleaner: Cleans country prefixes (TR:, [EN], DE|) while preserving 4K/FHD tags.
• 🎬 Cinematic Info: IMDb ratings, official trailers, cast info, and episode pickers.
• 💬 Subtitles & Audio: OpenSubtitles, external subs, multi-audio tracks, and Dolby Digital.
• ☁️ Google Cloud Backup: Sync playlists, favorites, and settings across all your devices.
• 👨‍👩‍👧‍👦 Multi-Profile & Kids Mode: Separate profiles with child-safe filtering.
• 🔒 Parental Control: 4-digit D-Pad PIN to lock sensitive categories.
• 🛰️ EPG & Sports Calendar: 24h XMLTV program guide, match schedules, and Catch-Up.
• 🎛️ Pro Tools: Picture-in-Picture (PiP), Background Audio, 400% Zoom, and 0.5x-2.0x Speed.
• ⏱️ Sleep Timer & Built-in Network Speed Test.
• 📲 External Player: Launch in VLC or MX Player with a single tap.

📦 SUPPORTED FORMATS:
• Playlists: M3U, M3U8, Xtream Codes API
• Guide: XMLTV EPG
• Engines: ExoPlayer & MPV
• Protocols: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP
• Codecs: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ LEGAL DISCLAIMER:
- No Content: Ray Player does not host, provide, or distribute any media or streams.
- User Responsibility: Users must supply their own authorized content.
- Copyright: We do not endorse unauthorized streaming of copyrighted material."
en-AU,Ray Player: Smart IPTV Player,"Fast M3U & Xtream IPTV player. 4K live streaming for Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player is a high-performance, versatile media player engineered for Android TV, Google TV, TV Boxes, phones, and tablets.

Fully supports M3U, M3U8, Xtream Codes API, and XMLTV EPG formats. Effortlessly stream your legal playlists in crystal-clear 4K/HDR quality.

🚫 IMPORTANT: The app does NOT provide any channels or media. It is strictly a playback tool for users' own legal content.

✨ WHY CHOOSE RAY PLAYER?
• 🚀 Zero Lag & Fast Zapping: Optimized for Android TV remotes (D-Pad) and touchscreens.
• 🎨 Modern Glass UI: Live previews, wallpapers, and a ""TV Lite Mode"" for 1-2GB RAM TV boxes.
• 🧠 Ray AI Recommendations: Daily Mix, Trending Movies, and personalized picks.
• ⚔️ Dual Engine Power: ExoPlayer (Hardware Accelerated) & MPV Player with auto-fallback.

⚙️ POWERFUL FEATURES:
• 📂 Multi-Playlist: Manage unlimited M3U playlists and Xtream accounts; combine sources.
• 🔄 Smart Detection: Converts M3U credentials into stable Xtream architecture.
• 📺 Prefix Cleaner: Cleans country prefixes (TR:, [EN], DE|) while preserving 4K/FHD tags.
• 🎬 Cinematic Info: IMDb ratings, official trailers, cast info, and episode pickers.
• 💬 Subtitles & Audio: OpenSubtitles, external subs, multi-audio tracks, and Dolby Digital.
• ☁️ Google Cloud Backup: Sync playlists, favorites, and settings across all your devices.
• 👨‍👩‍👧‍👦 Multi-Profile & Kids Mode: Separate profiles with child-safe filtering.
• 🔒 Parental Control: 4-digit D-Pad PIN to lock sensitive categories.
• 🛰️ EPG & Sports Calendar: 24h XMLTV program guide, match schedules, and Catch-Up.
• 🎛️ Pro Tools: Picture-in-Picture (PiP), Background Audio, 400% Zoom, and 0.5x-2.0x Speed.
• ⏱️ Sleep Timer & Built-in Network Speed Test.
• 📲 External Player: Launch in VLC or MX Player with a single tap.

📦 SUPPORTED FORMATS:
• Playlists: M3U, M3U8, Xtream Codes API
• Guide: XMLTV EPG
• Engines: ExoPlayer & MPV
• Protocols: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP
• Codecs: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ LEGAL DISCLAIMER:
- No Content: Ray Player does not host, provide, or distribute any media or streams.
- User Responsibility: Users must supply their own authorized content.
- Copyright: We do not endorse unauthorized streaming of copyrighted material."
en-CA,Ray Player: Smart IPTV Player,"Fast M3U & Xtream IPTV player. 4K live streaming for Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player is a high-performance, versatile media player engineered for Android TV, Google TV, TV Boxes, phones, and tablets.

Fully supports M3U, M3U8, Xtream Codes API, and XMLTV EPG formats. Effortlessly stream your legal playlists in crystal-clear 4K/HDR quality.

🚫 IMPORTANT: The app does NOT provide any channels or media. It is strictly a playback tool for users' own legal content.

✨ WHY CHOOSE RAY PLAYER?
• 🚀 Zero Lag & Fast Zapping: Optimized for Android TV remotes (D-Pad) and touchscreens.
• 🎨 Modern Glass UI: Live previews, wallpapers, and a ""TV Lite Mode"" for 1-2GB RAM TV boxes.
• 🧠 Ray AI Recommendations: Daily Mix, Trending Movies, and personalized picks.
• ⚔️ Dual Engine Power: ExoPlayer (Hardware Accelerated) & MPV Player with auto-fallback.

⚙️ POWERFUL FEATURES:
• 📂 Multi-Playlist: Manage unlimited M3U playlists and Xtream accounts; combine sources.
• 🔄 Smart Detection: Converts M3U credentials into stable Xtream architecture.
• 📺 Prefix Cleaner: Cleans country prefixes (TR:, [EN], DE|) while preserving 4K/FHD tags.
• 🎬 Cinematic Info: IMDb ratings, official trailers, cast info, and episode pickers.
• 💬 Subtitles & Audio: OpenSubtitles, external subs, multi-audio tracks, and Dolby Digital.
• ☁️ Google Cloud Backup: Sync playlists, favorites, and settings across all your devices.
• 👨‍👩‍👧‍👦 Multi-Profile & Kids Mode: Separate profiles with child-safe filtering.
• 🔒 Parental Control: 4-digit D-Pad PIN to lock sensitive categories.
• 🛰️ EPG & Sports Calendar: 24h XMLTV program guide, match schedules, and Catch-Up.
• 🎛️ Pro Tools: Picture-in-Picture (PiP), Background Audio, 400% Zoom, and 0.5x-2.0x Speed.
• ⏱️ Sleep Timer & Built-in Network Speed Test.
• 📲 External Player: Launch in VLC or MX Player with a single tap.

📦 SUPPORTED FORMATS:
• Playlists: M3U, M3U8, Xtream Codes API
• Guide: XMLTV EPG
• Engines: ExoPlayer & MPV
• Protocols: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP
• Codecs: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ LEGAL DISCLAIMER:
- No Content: Ray Player does not host, provide, or distribute any media or streams.
- User Responsibility: Users must supply their own authorized content.
- Copyright: We do not endorse unauthorized streaming of copyrighted material."
en-IN,Ray Player: Smart IPTV Player,"Fast M3U & Xtream IPTV player. 4K live streaming for Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player is a high-performance, versatile media player engineered for Android TV, Google TV, TV Boxes, phones, and tablets.

Fully supports M3U, M3U8, Xtream Codes API, and XMLTV EPG formats. Effortlessly stream your legal playlists in crystal-clear 4K/HDR quality.

🚫 IMPORTANT: The app does NOT provide any channels or media. It is strictly a playback tool for users' own legal content.

✨ WHY CHOOSE RAY PLAYER?
• 🚀 Zero Lag & Fast Zapping: Optimized for Android TV remotes (D-Pad) and touchscreens.
• 🎨 Modern Glass UI: Live previews, wallpapers, and a ""TV Lite Mode"" for 1-2GB RAM TV boxes.
• 🧠 Ray AI Recommendations: Daily Mix, Trending Movies, and personalized picks.
• ⚔️ Dual Engine Power: ExoPlayer (Hardware Accelerated) & MPV Player with auto-fallback.

⚙️ POWERFUL FEATURES:
• 📂 Multi-Playlist: Manage unlimited M3U playlists and Xtream accounts; combine sources.
• 🔄 Smart Detection: Converts M3U credentials into stable Xtream architecture.
• 📺 Prefix Cleaner: Cleans country prefixes (TR:, [EN], DE|) while preserving 4K/FHD tags.
• 🎬 Cinematic Info: IMDb ratings, official trailers, cast info, and episode pickers.
• 💬 Subtitles & Audio: OpenSubtitles, external subs, multi-audio tracks, and Dolby Digital.
• ☁️ Google Cloud Backup: Sync playlists, favorites, and settings across all your devices.
• 👨‍👩‍👧‍👦 Multi-Profile & Kids Mode: Separate profiles with child-safe filtering.
• 🔒 Parental Control: 4-digit D-Pad PIN to lock sensitive categories.
• 🛰️ EPG & Sports Calendar: 24h XMLTV program guide, match schedules, and Catch-Up.
• 🎛️ Pro Tools: Picture-in-Picture (PiP), Background Audio, 400% Zoom, and 0.5x-2.0x Speed.
• ⏱️ Sleep Timer & Built-in Network Speed Test.
• 📲 External Player: Launch in VLC or MX Player with a single tap.

📦 SUPPORTED FORMATS:
• Playlists: M3U, M3U8, Xtream Codes API
• Guide: XMLTV EPG
• Engines: ExoPlayer & MPV
• Protocols: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP
• Codecs: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ LEGAL DISCLAIMER:
- No Content: Ray Player does not host, provide, or distribute any media or streams.
- User Responsibility: Users must supply their own authorized content.
- Copyright: We do not endorse unauthorized streaming of copyrighted material."
en-SG,Ray Player: Smart IPTV Player,"Fast M3U & Xtream IPTV player. 4K live streaming for Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player is a high-performance, versatile media player engineered for Android TV, Google TV, TV Boxes, phones, and tablets.

Fully supports M3U, M3U8, Xtream Codes API, and XMLTV EPG formats. Effortlessly stream your legal playlists in crystal-clear 4K/HDR quality.

🚫 IMPORTANT: The app does NOT provide any channels or media. It is strictly a playback tool for users' own legal content.

✨ WHY CHOOSE RAY PLAYER?
• 🚀 Zero Lag & Fast Zapping: Optimized for Android TV remotes (D-Pad) and touchscreens.
• 🎨 Modern Glass UI: Live previews, wallpapers, and a ""TV Lite Mode"" for 1-2GB RAM TV boxes.
• 🧠 Ray AI Recommendations: Daily Mix, Trending Movies, and personalized picks.
• ⚔️ Dual Engine Power: ExoPlayer (Hardware Accelerated) & MPV Player with auto-fallback.

⚙️ POWERFUL FEATURES:
• 📂 Multi-Playlist: Manage unlimited M3U playlists and Xtream accounts; combine sources.
• 🔄 Smart Detection: Converts M3U credentials into stable Xtream architecture.
• 📺 Prefix Cleaner: Cleans country prefixes (TR:, [EN], DE|) while preserving 4K/FHD tags.
• 🎬 Cinematic Info: IMDb ratings, official trailers, cast info, and episode pickers.
• 💬 Subtitles & Audio: OpenSubtitles, external subs, multi-audio tracks, and Dolby Digital.
• ☁️ Google Cloud Backup: Sync playlists, favorites, and settings across all your devices.
• 👨‍👩‍👧‍👦 Multi-Profile & Kids Mode: Separate profiles with child-safe filtering.
• 🔒 Parental Control: 4-digit D-Pad PIN to lock sensitive categories.
• 🛰️ EPG & Sports Calendar: 24h XMLTV program guide, match schedules, and Catch-Up.
• 🎛️ Pro Tools: Picture-in-Picture (PiP), Background Audio, 400% Zoom, and 0.5x-2.0x Speed.
• ⏱️ Sleep Timer & Built-in Network Speed Test.
• 📲 External Player: Launch in VLC or MX Player with a single tap.

📦 SUPPORTED FORMATS:
• Playlists: M3U, M3U8, Xtream Codes API
• Guide: XMLTV EPG
• Engines: ExoPlayer & MPV
• Protocols: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP
• Codecs: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ LEGAL DISCLAIMER:
- No Content: Ray Player does not host, provide, or distribute any media or streams.
- User Responsibility: Users must supply their own authorized content.
- Copyright: We do not endorse unauthorized streaming of copyrighted material."
en-ZA,Ray Player: Smart IPTV Player,"Fast M3U & Xtream IPTV player. 4K live streaming for Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player is a high-performance, versatile media player engineered for Android TV, Google TV, TV Boxes, phones, and tablets.

Fully supports M3U, M3U8, Xtream Codes API, and XMLTV EPG formats. Effortlessly stream your legal playlists in crystal-clear 4K/HDR quality.

🚫 IMPORTANT: The app does NOT provide any channels or media. It is strictly a playback tool for users' own legal content.

✨ WHY CHOOSE RAY PLAYER?
• 🚀 Zero Lag & Fast Zapping: Optimized for Android TV remotes (D-Pad) and touchscreens.
• 🎨 Modern Glass UI: Live previews, wallpapers, and a ""TV Lite Mode"" for 1-2GB RAM TV boxes.
• 🧠 Ray AI Recommendations: Daily Mix, Trending Movies, and personalized picks.
• ⚔️ Dual Engine Power: ExoPlayer (Hardware Accelerated) & MPV Player with auto-fallback.

⚙️ POWERFUL FEATURES:
• 📂 Multi-Playlist: Manage unlimited M3U playlists and Xtream accounts; combine sources.
• 🔄 Smart Detection: Converts M3U credentials into stable Xtream architecture.
• 📺 Prefix Cleaner: Cleans country prefixes (TR:, [EN], DE|) while preserving 4K/FHD tags.
• 🎬 Cinematic Info: IMDb ratings, official trailers, cast info, and episode pickers.
• 💬 Subtitles & Audio: OpenSubtitles, external subs, multi-audio tracks, and Dolby Digital.
• ☁️ Google Cloud Backup: Sync playlists, favorites, and settings across all your devices.
• 👨‍👩‍👧‍👦 Multi-Profile & Kids Mode: Separate profiles with child-safe filtering.
• 🔒 Parental Control: 4-digit D-Pad PIN to lock sensitive categories.
• 🛰️ EPG & Sports Calendar: 24h XMLTV program guide, match schedules, and Catch-Up.
• 🎛️ Pro Tools: Picture-in-Picture (PiP), Background Audio, 400% Zoom, and 0.5x-2.0x Speed.
• ⏱️ Sleep Timer & Built-in Network Speed Test.
• 📲 External Player: Launch in VLC or MX Player with a single tap.

📦 SUPPORTED FORMATS:
• Playlists: M3U, M3U8, Xtream Codes API
• Guide: XMLTV EPG
• Engines: ExoPlayer & MPV
• Protocols: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP
• Codecs: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ LEGAL DISCLAIMER:
- No Content: Ray Player does not host, provide, or distribute any media or streams.
- User Responsibility: Users must supply their own authorized content.
- Copyright: We do not endorse unauthorized streaming of copyrighted material."
tr-TR,Ray Player: Akıllı IPTV Oynatı,"Hızlı M3U & Xtream IPTV oynatıcı. Android TV, TV Box ve Mobilde 4K akıcı yayın!","Ray Player: Akıllı IPTV ve M3U Medya Oynatıcı; Android TV, Google TV, TV Box, telefon ve tabletler için yüksek performanslı ve modern bir IPTV oynatıcısıdır.

M3U, M3U8, Xtream Codes API ve XMLTV EPG formatlarını tam olarak destekler. Kendi yasal çalma listelerinizi saniyeler içinde yükleyin ve 4K/HDR kalitesinde akıcı izleyin.

🚫 ÖNEMLİ: Uygulama herhangi bir kanal veya yayın SAĞLAMAZ. Kullanıcıların kendi yasal içeriklerini oynatmaları için geliştirilmiş bir araçtır.

✨ NEDEN RAY PLAYER?
• 🚀 Sıfır Gecikme & Hızlı Zapping: TV kumandası (D-Pad) ve dokunmatik ekranlara özel optimize.
• 🎨 Modern Glass Arayüzü: Canlı kanal önizleme, duvar kağıtları ve 1-2 GB TV Box'lar için donma önleyen ""TV Lite Modu"".
• 🧠 Ray AI Akıllı Tavsiye: Günün Karışımı, Trend Filmler ve kişiselleştirilmiş öneriler.
• ⚔️ Çift Motor Gücü: ExoPlayer (Donanım Hızlandırma) ve MPV Player. Yayın hatasında otomatik alternatif motora geçer.

⚙️ GELİŞMİŞ ÖZELLİKLER:
• 📂 Çoklu Oynatma Listesi: Sınırsız M3U ve Xtream hesabı ekleyin, kaynakları birleştirin.
• 🔄 Akıllı Format: M3U bilgilerini otomatik algılayıp kararlı Xtream yapısına dönüştürür.
• 📺 Kanal Ön Ek Temizleyici: Ülke ön eklerini (TR:, [EN], DE|) temizler, 4K/FHD etiketlerini korur.
• 🎬 Sinematik Detaylar: IMDb puanları, fragmanlar, oyuncu bilgileri ve sezon/bölüm seçimi.
• 💬 Gelişmiş Altyazı & Ses: OpenSubtitles, harici altyazı, çoklu ses parçası ve Dolby Digital.
• ☁️ Google Cloud Bulut Yedekleme: Listeleri ve ayarları tüm cihazlarınız arasında senkronize edin.
• 👨‍👩‍👧‍👦 Çoklu Profil & Çocuk Modu: Aile üyeleri için ayrı profiller ve güvenli içerik.
• 🔒 Güvenli Ebeveyn Kontrolü: 4 haneli D-Pad PIN kilidi ile hassas kategorileri gizleyin.
• 🛰️ EPG & Yaklaşan Maçlar: 24 saatlik XMLTV akışı, maç takvimi ve Geriye Dönük İzleme (Catch-Up).
• 🎛️ Pro Araçlar: Resim İçinde Resim (PiP), Arka Planda Ses, %400 Yakınlaştırma (Fill/Fit/Zoom), 0.5x-2.0x Hız.
• ⏱️ Uyku Zamanlayıcısı & Dahili İnternet Hız Testi (Speed Test).
• 📲 Harici Oynatıcı: VLC ve MX Player ile tek tıkla açma.

📦 DESTEKLENEN FORMATLAR:
• Oynatma Listeleri: M3U, M3U8, Xtream Codes API
• Program Rehberi: XMLTV EPG
• Video Motorları: ExoPlayer & MPV
• Protokoller: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP, RTSP
• Formatlar: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ YASAL UYARI:
- İçerik Yoktur: Ray Player herhangi bir medya, kanal veya liste barındırmaz ve dağıtmaz.
- Kullanıcı Sorumluluğu: Kullanıcılar kendi yasal içeriklerini eklemekten sorumludur.
- Telif Politikası: Telif hakkı ihlali yapan yayınları kesinlikle onaylamıyoruz.
- Donanım: 4K akıcılığı ve PiP özellikleri cihazın donanım kapasitesine bağlıdır."
az-AZ,Ray Player: Ağıllı IPTV Pleyer,"Sürətli M3U və Xtream IPTV pleyer. Android TV, TV Box və Mobildə 4K yayım!","Ray Player: Ağıllı IPTV və M3U Media Pleyer; Android TV, Google TV, TV Box, smartfon və planşetlər üçün yüksək performanslı IPTV pleyeridir.

M3U, M3U8, Xtream Codes API və XMLTV EPG formatlarını tam dəstəkləyir.

🚫 QEYD: Tətbiqdə heç bir kanal və ya media məzmunu yoxdur.

✨ XÜSUSİYYƏTLƏR:
• 🚀 Sürətli kanal keçidi (Zapping) və TV pultu (D-Pad) dəstəyi.
• 🎨 Zəif TV Box-lar üçün xüsusi TV Lite rejimi.
• 🧠 Ray AI tövsiyə mühərriki.
• ⚔️ İkili Mühərrik: ExoPlayer və MPV.
• ☁️ Google Cloud ilə bulud sinxronizasiyası.
• 👨‍👩‍👧‍👦 Çoxsaylı profillər və Valideyn Nəzarəti (PIN).
• 🛰️ 24 saatlıq EPG bələdçisi və canlı idman oyunları."
de-DE,Ray Player: Smart IPTV Player,"Schneller M3U & Xtream IPTV-Player. 4K-Streaming für Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player ist ein vielseitiger Hochleistungs-Player für Android TV, Google TV, TV-Boxen, Smartphones und Tablets.

Unterstützt M3U, M3U8, Xtream Codes API und XMLTV EPG in brillanter 4K/HDR-Qualität.

🚫 WICHTIG: Die App enthält KEINE Medien oder Kanäle. Sie ist ein reines Wiedergabetool.

✨ HIGHLIGHTS:
• 🚀 Null Verzögerung & Schnelles Zappen: Perfekt für TV-Fernbedienungen (D-Pad).
• 🎨 Modernes Glass-Design & TV Lite-Modus für TV-Boxen mit 1–2 GB RAM.
• 🧠 Ray AI Empfehlungen: Täglicher Mix, Trends und Filmvorschläge.
• ⚔️ Dual-Engine: ExoPlayer (Hardware-Beschleunigung) & MPV Player.
• 📂 Multi-Playlist: Unbegrenzte M3U- und Xtream-Quellen verwalten.
• 💬 OpenSubtitles & Mehrkanal-Audio (Dolby Digital).
• ☁️ Google Cloud Backup & Synchronisation über alle Geräte.
• 👨‍👩‍👧‍👦 Multi-Profile & Kindersicherung mit 4-stelligem PIN-Code.
• 🛰️ EPG Programmführer & Live-Sport-Events.
• 🎛️ PiP (Bild-in-Bild), Hintergrund-Audio und bis zu 400% Zoom.

⚖️ RECHTLICHE HINWEISE:
- Keine Medieninhalte enthalten. Benutzer müssen eigene Playlists bereitstellen."
